"Gene","K","l","Day","LeuLysMet"
"BPPPMP",119.41906,10.61665,4,"PPM"
"BMPPMP",118.98208,11.7899,4,"PPM"
"AMPPMP",118.03812,12.14983,4,"PPM"
"BPMPPM",117.64299,12.26928,4,"MPP"
"AMMMPM",118.90424,12.66917,4,"MMP"
"APPMPP",92.90955,14.65204,4,"PMP"
"BPMMPM",121.98146,12.68971,4,"MMP"
"AMMMMM",120.06417,14.23589,4,"MMM"
"APPMPM",124.9151,13.27417,4,"PMP"
"APPPPM",122.39116,11.81589,4,"PPP"
"BMMMPP",117.1392,14.01562,4,"MMP"
"BMMMMP",105.65304,14.37182,4,"MMM"
"APMPMP",120.49698,11.42834,4,"MPM"
"APMPPM",121.84568,11.64557,4,"MPP"
"BMPPMM",123.22106,10.73447,4,"PPM"
"BMPMMP",94.5157,14.27747,4,"PMM"
"AMPMMM",120.95932,12.83102,4,"PMM"
"BMPPMP",121.9248,11.87907,4,"PPM"
"BPMMPP",87.52201,15.13849,4,"MMP"
"AMMMPM",118.2616,13.3235,4,"MMP"
"BPPPMM",119.87326,12.49888,4,"PPM"
"IPPPPP",120.93841,11.20911,4,"PrPrPr"
"AMMPPP",121.614,11.56912,4,"MPP"
"APMMMM",88.45528,14.9502,4,"MMM"
"BPMMPM",117.34612,14.18517,4,"MMP"
"BPPMPP",114.81574,14.65917,4,"PMP"
"AMPPMP",120.80902,11.21539,4,"PPM"
"APPPMP",120.0305,12.18056,4,"PPM"
"BPPMMP",94.0293,14.29156,4,"PMM"
"APMPPP",121.0389,12.2259,4,"MPP"
"AMMPPM",124.65202,11.66379,4,"MPP"
"BMPPPM",131.75063,11.832,4,"PPP"
"BMPPMP",126.6191,11.82898,4,"PPM"
"APPMPM",119.98572,13.79851,4,"PMP"
"AMMMPM",81.42532,14.89987,4,"MMP"
"BMMMMP",117.48446,14.19093,4,"MMM"
"BPMPPM",120.83131,12.72356,4,"MPP"
"BMPPPM",123.47582,10.91242,4,"PPP"
"APPMMP",90.35817,14.24144,4,"PMM"
"APMPMP",120.41905,11.92654,4,"MPM"
