"Gene","K","l","Day","LeuLysMet","pH_day","A"
"APPPMP",114.04442,12.49674,31,"PPM","19_0503",NA
"BPPPPM",113.10089,10.87818,31,"PPP","19_0503",NA
"BPPMPP",114.00018,11.62796,31,"PMP","19_0503",NA
"APMPMP",111.6941,12.27364,31,"MPM","19_0503",NA
"IPPPPP",114.00564,12.69506,31,"PrPrPr","19_0503",NA
"AMMMMP",116.87253,14.63469,31,"MMM","19_0503",NA
"AMMPMM",111.95429,13.33486,31,"MPM","19_0503",NA
"BMPMPP",116.31927,13.57109,31,"PMP","19_0503",NA
"APMMMM",114.69354,12.88618,31,"MMM","19_0503",NA
"AMPPMM",113.98874,12.882,31,"PPM","19_0503",NA
"BMPMMP",116.1653,14.02751,31,"PMM","19_0503",NA
"APMMMM",116.41325,12.41632,31,"MMM","19_0503",NA
"IPPPPP",114.90924,10.87626,31,"PrPrPr","19_0503",NA
"BPMPPP",117.19737,11.59298,31,"MPP","19_0503",NA
"APPMPM",116.10406,14.39887,31,"PMP","19_0503",NA
"BPPMMP",116.51965,14.0958,31,"PMM","19_0503",NA
"BMMMPP",107.0227,20.18215,31,"MMP","19_0503",NA
"AMMPPM",113.78428,14.84776,31,"MPP","19_0503",NA
"APMPMP",113.16143,12.58103,31,"MPM","19_0503",NA
"BMMMMM",104.86446,19.76213,31,"MMM","19_0503",NA
"BMPPMM",112.66302,14.09322,31,"PPM","19_0503",NA
"IPPPPP",113.42447,13.72144,31,"PrPrPr","19_0503",NA
"AMPMMM",115.74521,15.82409,31,"PMM","19_0503",NA
"AMMMMM",107.47307,18.80938,31,"MMM","19_0503",NA
"BPMMPP",107.05795,18.00442,31,"MMP","19_0503",NA
"BMMPPP",111.4538,14.42454,31,"MPP","19_0503",NA
"BPPMMM",112.97025,14.42539,31,"PMM","19_0503",NA
"AMPMPM",108.37459,14.56767,31,"PMP","19_0503",NA
"AMMPPP",111.79538,13.84161,31,"MPP","19_0503",NA
"BPPMMM",104.32543,18.90533,31,"PMM","19_0503",NA
"BPMMPM",119.91677,13.888,31,"MMP","19_0503",NA
"BPPMPM",104.04139,19.74976,31,"PMP","19_0503",NA
"AMPPMP",109.54796,14.51958,31,"PPM","19_0503",NA
"BMMPPP",112.51527,13.62228,31,"MPP","19_0503",NA
"BPPMMP",94.6255,19.56935,31,"PMM","19_0503",NA
"APMMMP",108.11623,19.87111,31,"MMM","19_0503",NA
"AMMPPM",120.20399,13.15913,31,"MPP","19_0503",NA
"AMPPMM",119.52613,12.52066,31,"PPM","19_0503",NA
"BMMPPM",116.41465,16.64852,31,"MPP","19_0503",NA
"BPPPMM",115.9791,18.96122,31,"PPM","19_0503",NA
"BMPMMP",117.82492,16.58641,31,"PMM","19_0503",NA
"AMMPMP",115.16161,15.06777,31,"MPM","19_0503",NA
"APPMPP",97.07631,22.0135,31,"PMP","19_0503",NA
"BMPMPM",105.19802,21.24734,31,"PMP","19_0503",NA
"APMPMM",113.26955,15.08447,31,"MPM","19_0503",NA
"APMMPP",99.53172,23.39269,31,"MMP","19_0503",NA
"AMMMPP",81.51088,22.20119,31,"MMP","19_0503",NA
"AMPPMM",115.6813,13.98236,31,"PPM","19_0503",NA
"BPPMPM",95.37474,17.05548,31,"PMP","19_0503",NA
"AMMMPP",113.9986,14.89143,31,"MMP","19_0503",NA
